window_id,symbol,reference_label,before_regime,before_confidence,before_match_status,after_regime,after_confidence,after_match_status,regime_changed,confidence_changed,improvement_status,safety_preserved,notes
btc_15m_expected_up_001,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
btc_15m_expected_down_001,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
btc_15m_expected_flat_001,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,1.0,MISMATCH,True,True,REGRESSED,True,opposite or directional-vs-flat result
btc_15m_expected_unknown_or_mixed_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
btc_15m_recent_baseline_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,ACCEPTABLE_UNKNOWN,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
eth_15m_expected_up_001,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UP,1.0,MATCH,True,True,IMPROVED,True,direct descriptive-label match
eth_15m_expected_down_001,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,DOWN,0.6,MATCH,True,True,IMPROVED,True,direct descriptive-label match
eth_15m_expected_flat_001,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,UNKNOWN,0.3,QUESTIONABLE_UNKNOWN,False,False,UNCHANGED_QUESTIONABLE,True,clear reference remains UNKNOWN
eth_15m_expected_unknown_or_mixed_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,MATCH,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
eth_15m_recent_baseline_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,ACCEPTABLE_UNKNOWN,UP,1.0,NEEDS_REVIEW,True,True,NEEDS_REVIEW,True,non-direct comparison requires review
