regime,hypothesis,context,setup_allowed,setup_type,no_trade_reason
UNKNOWN,ANY,any context,false,NO_TRADE_CONTRACT,UNKNOWN_REGIME
DOWN,DOWN_CONTINUATION,bearish structure + causal retest + failed rebound + closed bearish confirmation + levels + RR pass,true,SHORT_DOWN_CONTINUATION_RETEST,
DOWN,DOWN_CONTINUATION,causal retest and levels exist but confirmation candle is not closed,pending,SHORT_DOWN_CONTINUATION_RETEST,
DOWN,DOWN_CONTINUATION,confirmed bullish reversal,false,NO_TRADE_CONTRACT,CONFIRMED_OPPOSING_REVERSAL
DOWN,DOWN_CONTINUATION,confirmed range dominates,false,NO_TRADE_CONTRACT,CONFIRMED_RANGE_DOMINATES
DOWN,DOWN_CONTINUATION,indicator-only bearish evidence,false,NO_TRADE_CONTRACT,INDICATOR_ONLY_EVIDENCE
DOWN,NONE,LL/LH + bearish indicators + failed rebound; ENGINE-TREND-20B absent,false,NO_TRADE_CONTRACT,CONTRACT_NOT_VALIDATED_ENGINE_TREND_20B
DOWN,FUTURE_VALIDATED_TREND_ONLY_DOWN_CONTINUATION,LL/LH + failed rebound + no stronger range/reversal + levels + RR pass after 20B,true,SHORT_TREND_ONLY_CONTINUATION_CANDIDATE,
UP,UP_CONTINUATION_OR_EQUIVALENT,HH/HL + breakout/reclaim retest + failed breakdown + closed bullish confirmation + levels + RR pass,true,LONG_UP_CONTINUATION_RETEST,
UP,UP_CONTINUATION_OR_EQUIVALENT,causal retest and levels exist but confirmation candle is not closed,pending,LONG_UP_CONTINUATION_RETEST,
UP,UP_CONTINUATION_OR_EQUIVALENT,confirmed bearish reversal,false,NO_TRADE_CONTRACT,CONFIRMED_OPPOSING_REVERSAL
UP,UP_CONTINUATION_OR_EQUIVALENT,confirmed range dominates,false,NO_TRADE_CONTRACT,CONFIRMED_RANGE_DOMINATES
FLAT,CONFIRMED_RANGE,at support + closed inward rejection + no confirmed breakdown + levels + RR pass,true,RANGE_MEAN_REVERSION_CANDIDATE,
FLAT,CONFIRMED_RANGE,at resistance + closed inward rejection + no confirmed breakout + levels + RR pass,true,RANGE_MEAN_REVERSION_CANDIDATE,
FLAT,CONFIRMED_RANGE,at boundary but rejection/break resolution pending,pending,RANGE_MEAN_REVERSION_CANDIDATE,
FLAT,CONFIRMED_RANGE,confirmed breakout or breakdown,false,NO_TRADE_CONTRACT,CONFIRMED_BREAKOUT_OR_BREAKDOWN
FLAT,NONE,no confirmed range,false,NO_TRADE_CONTRACT,REQUIRED_HYPOTHESIS_MISSING
ANY,ANY,no objective invalidation,false,NO_TRADE_CONTRACT,INVALIDATION_UNDEFINED
ANY,ANY,no causal stop,false,NO_TRADE_CONTRACT,STOP_UNDEFINED
ANY,ANY,no reachable causal target,false,NO_TRADE_CONTRACT,TARGET_UNDEFINED
ANY,ANY,all eligible targets below minimum RR,false,NO_TRADE_CONTRACT,RR_BELOW_MINIMUM
ANY,ANY,setup expired,false,NO_TRADE_CONTRACT,SETUP_STALE
ANY,ANY,range/trend conflict unresolved,false,NO_TRADE_CONTRACT,RANGE_TREND_CONFLICT
ANY,ANY,data quality failed,false,NO_TRADE_CONTRACT,DATA_QUALITY_FAILURE
