dependency,file,symbol_or_key,value_or_default,origin,current_consumer,5m_reachable,runtime_reachable,research_reachable,ui_reachable,classification,safe,action
disabled_15m_profile,config/trading/trade_parameters.yaml,profiles.trade-15m-v1.enabled,false,explicit historical profile domain,config validator,false,false,false,false,HISTORICAL_ONLY,true,retain
disabled_15m_compose,docker-compose.yml,online-orchestrator profile,disabled-trade-15m,explicit deployment isolation,Docker Compose,false,false,false,false,HISTORICAL_ONLY,true,retain and verify no recent authoritative activity
legacy_trade_profile,app/engine_orchestrator/trade_profile.py,TRADE_15M_PROFILE,15m explicit constants,historical production profile,resolve_trade_profile,false,false,false,false,HISTORICAL_ONLY,true,retain readability
5m_profile_context,app/engine_orchestrator/trade_profile.py,TRADE_5M_V2_PROFILE.context_timeframes,"15m,1h",explicit 5m multi-timeframe context,5m pipeline,true,true,true,true,SHARED_GENERIC_BUT_PROFILE_SAFE,true,retain; 15m is context not trigger
resolved_5m_windows,config/trading/trade_parameters.yaml,profiles.trade-5m-v2.signal.*,"120/12/8/12/1/12/24 bars",explicit 5m profile configuration,PipelineRunner,true,true,true,true,SHARED_GENERIC_BUT_PROFILE_SAFE,true,retain and project provenance
generic_analysis_fallback,app/engine_analysis/analysis_quality_basis.py,config absent fallback,96 bars,recovered generic pre-profile default,non-profile callers,true,false,true,false,ACTIVE_5M_RESEARCH_DEPENDENCY,false,fail closed or require explicit 5m config in 5m tooling
impulse_absolute_floor,app/engine_analysis/impulse_phase_diagnostics.py,impulse_threshold absolute,3.0 percent,recovered baseline commit cca167e8 originally generic 15m,5m analysis,true,true,true,true,ACTIVE_5M_RUNTIME_DEPENDENCY,false,move unchanged value to explicit 5m profile provenance; no calibration
impulse_atr_multiplier,app/engine_analysis/impulse_phase_diagnostics.py,impulse_threshold ATR,2.5 x ATR percent,recovered baseline commit cca167e8 originally generic 15m,5m analysis,true,true,true,true,ACTIVE_5M_RUNTIME_DEPENDENCY,false,move unchanged value to explicit 5m profile provenance; no calibration
impulse_research_literal,scripts/forensic_impulse_calibration.py,CURRENT detector,"max(3 percent,2.5 x ATR percent)",active runtime mirror with explicit 15m provenance,current 5m research,true,false,true,false,ACTIVE_5M_RESEARCH_DEPENDENCY,false,read frozen current 5m values or require explicit arguments
collector_time_stop,app/engine_observation/scalping_prospective_collector.py,outcome_time_stop_ms,900000 ms,Set2 lifecycle exit_time_stop_minutes=15,v3 outcome collection,true,false,true,false,SHARED_GENERIC_BUT_PROFILE_SAFE,true,retain explicit deployment argument and duration unit
collector_semantics_label,app/engine_observation/scalping_prospective_collector.py,PROBABILITY_OUTCOME_SEMANTICS,timestop15m,15-minute duration not 15m trigger timeframe,v3 identity,true,false,true,false,SHARED_GENERIC_BUT_PROFILE_SAFE,true,retain with documented semantic distinction
generic_paper_config,app/engine_paper/paper_config.py,PaperConfig minimum_planned_rr/default_target_rr,1.5,recovered general/15m policy,legacy paper runner and readonly criteria,true,false,false,true,ACTIVE_5M_UI_PROJECTION_DEPENDENCY,false,separate legacy groups and project persisted frozen 5m snapshot
quantity_risk_fraction,app/engine_paper/controlled_quantity_validity.py,RISK_FRACTION,0.01,recovered general paper sizing policy,NaturalFinalApprovalMaterializer,true,true,false,false,ACTIVE_5M_RUNTIME_DEPENDENCY,false,require frozen Set2 risk_per_trade_bps for 5m; retain legacy behavior
quantity_source_timeframe,app/engine_paper/controlled_quantity_validity.py,source_timeframe default,15m,recovered general paper API,legacy callers and materializer,true,true,false,false,SHARED_GENERIC_BUT_PROFILE_SAFE,true,5m caller already passes explicit timeframe; fail closed when frozen risk missing
generic_strategy_config,app/engine_strategy/strategy_config.py,StrategyConfig allowed setups,"BREAKOUT_CONTINUATION,TREND_CONTINUATION",legacy generic strategy policy,readonly criteria only for 5m UI,true,false,false,true,ACTIVE_5M_UI_PROJECTION_DEPENDENCY,false,label legacy and project frozen 5m allowed setups
generic_orchestrator_config,app/engine_orchestrator/orchestrator_config.py,OrchestratorConfig primary/default timeframes,15m legacy defaults,readonly criteria only for 5m UI,true,false,false,true,ACTIVE_5M_UI_PROJECTION_DEPENDENCY,false,label legacy and use resolved recorded 5m snapshot
research_risk_profile_default,app/engine_risk/risk_limits.py,trade_profile_id default,trade-15m-v1,recovered research quota domain,no production caller,false,false,false,false,DEAD_CODE,true,no 5m call path; retain historical compatibility
test_fixture_pipeline_default,tests/final_approval_generation_integration/test_natural_materialization.py,PipelineResult implicit profile,trade-15m-v1,legacy fixture,test helpers,true,false,false,false,TEST_ONLY,false,make 5m tests declare 5m profile and frozen snapshot explicitly
historical_export,scripts/export_5m_scalping_analysis_report.py,trade-15m-v1 export,comparison series,historical comparison feature,offline report,true,false,true,false,HISTORICAL_ONLY,true,retain labeled comparison
parameter_set_inheritance,config/trading/trade_parameters.yaml,set_2.inherits,scalping-v2-set-1,5m Set1 not trade-15m-v1,5m runtime and research,true,true,true,true,SHARED_GENERIC_BUT_PROFILE_SAFE,true,retain explicit owner-set provenance
